org_lead_sources	org_lead_sources_pkey	t	t	CREATE UNIQUE INDEX org_lead_sources_pkey ON public.org_lead_sources USING btree (id)
org_message_templates	org_message_templates_organization_id_template_key_channel_key	t	f	CREATE UNIQUE INDEX org_message_templates_organization_id_template_key_channel_key ON public.org_message_templates USING btree (organization_id, template_key, channel)
org_message_templates	org_message_templates_pkey	t	t	CREATE UNIQUE INDEX org_message_templates_pkey ON public.org_message_templates USING btree (id)
org_payer_mappings	org_payer_mappings_pkey	t	t	CREATE UNIQUE INDEX org_payer_mappings_pkey ON public.org_payer_mappings USING btree (id)
org_providers	org_providers_pkey	t	t	CREATE UNIQUE INDEX org_providers_pkey ON public.org_providers USING btree (id)
org_service_types	org_service_types_organization_id_service_code_key	t	f	CREATE UNIQUE INDEX org_service_types_organization_id_service_code_key ON public.org_service_types USING btree (organization_id, service_code)
org_service_types	org_service_types_pkey	t	t	CREATE UNIQUE INDEX org_service_types_pkey ON public.org_service_types USING btree (id)
org_voice_personas	org_voice_personas_organization_id_persona_key_key	t	f	CREATE UNIQUE INDEX org_voice_personas_organization_id_persona_key_key ON public.org_voice_personas USING btree (organization_id, persona_key)
org_voice_personas	org_voice_personas_pkey	t	t	CREATE UNIQUE INDEX org_voice_personas_pkey ON public.org_voice_personas USING btree (id)
organizations	organizations_pkey	t	t	CREATE UNIQUE INDEX organizations_pkey ON public.organizations USING btree (id)
patients	idx_patients_archived	f	f	CREATE INDEX idx_patients_archived ON public.patients USING btree (organization_id) WHERE (archived_at IS NULL)
patients	idx_patients_first_name	f	f	CREATE INDEX idx_patients_first_name ON public.patients USING btree (first_name)
patients	idx_patients_last_name	f	f	CREATE INDEX idx_patients_last_name ON public.patients USING btree (last_name)
patients	idx_patients_lead_id	f	f	CREATE INDEX idx_patients_lead_id ON public.patients USING btree (lead_id)
patients	idx_patients_org	f	f	CREATE INDEX idx_patients_org ON public.patients USING btree (organization_id)
patients	patients_pkey	t	t	CREATE UNIQUE INDEX patients_pkey ON public.patients USING btree (id)
payer_auth_requirements	idx_payer_auth_req_code	f	f	CREATE INDEX idx_payer_auth_req_code ON public.payer_auth_requirements USING btree (code)
payer_auth_requirements	idx_payer_auth_req_payer_id	f	f	CREATE INDEX idx_payer_auth_req_payer_id ON public.payer_auth_requirements USING btree (payer_id)
payer_auth_requirements	idx_payer_auth_req_unique	t	f	CREATE UNIQUE INDEX idx_payer_auth_req_unique ON public.payer_auth_requirements USING btree (payer_id, code)
