claim_follow_up_notes	5	user_name	character varying		YES	
claim_follow_up_notes	6	note_text	text		NO	
claim_follow_up_notes	7	created_at	timestamp without time zone		NO	now()
claim_templates	1	id	character varying		NO	(gen_random_uuid())::text
claim_templates	2	name	character varying		NO	
claim_templates	3	provider_id	character varying		YES	
claim_templates	4	payer_id	character varying		YES	
claim_templates	5	place_of_service	character varying		YES	'12'::character varying
claim_templates	6	service_lines	jsonb		YES	
claim_templates	7	created_by	character varying		YES	
claim_templates	8	created_at	timestamp without time zone		YES	now()
claim_templates	9	organization_id	character varying		YES	
claims	1	id	character varying		NO	gen_random_uuid()
claims	2	patient_id	character varying		NO	
claims	3	encounter_id	character varying		NO	
claims	4	payer	text		NO	
claims	5	cpt_codes	jsonb		NO	
claims	6	amount	real		NO	
claims	7	status	text		NO	'created'::text
claims	8	risk_score	integer		NO	0
claims	9	readiness_status	text		NO	'GREEN'::text
claims	10	created_at	timestamp without time zone		NO	now()
claims	11	reason	text		YES	
claims	12	next_step	text		YES	
claims	13	provider_id	character varying		YES	
claims	14	payer_id	character varying		YES	
claims	15	service_date	date		YES	
claims	16	place_of_service	character varying		YES	'12'::character varying
claims	17	icd10_primary	character varying	10	YES	
claims	18	icd10_secondary	jsonb		YES	
claims	19	authorization_number	character varying		YES	
claims	20	service_lines	jsonb		YES	
claims	21	pdf_url	character varying		YES	
claims	22	submission_method	character varying		YES	'manual'::character varying
claims	23	availity_icn	character varying		YES	
claims	24	charge_overridden	boolean		YES	false
claims	25	created_by	character varying		YES	
claims	26	updated_at	timestamp without time zone		YES	
claims	27	organization_id	character varying		YES	
claims	28	claim_frequency_code	character varying		YES	'1'::character varying
claims	29	orig_claim_number	character varying		YES	
claims	30	homebound_indicator	character varying		YES	'Y'::character varying
claims	31	ordering_provider_id	character varying		YES	
claims	32	delay_reason_code	character varying		YES	
claims	33	follow_up_date	date		YES	
claims	34	follow_up_status	character varying		YES	
claims	35	stedi_transaction_id	character varying		YES	
claims	36	external_ordering_provider_name	character varying		YES	
claims	37	external_ordering_provider_npi	character varying		YES	
claims	38	last_test_status	character varying		YES	
claims	39	last_test_at	timestamp without time zone		YES	
claims	40	last_test_errors	jsonb		YES	
claims	41	secondary_payer_id	character varying		YES	
claims	42	secondary_member_id	character varying		YES	
claims	43	secondary_group_number	character varying		YES	
claims	44	cob_order	character varying		YES	
claims	45	ordering_provider_first_name	character varying		YES	
claims	46	ordering_provider_last_name	character varying		YES	
claims	47	ordering_provider_npi	character varying		YES	
claims	48	ordering_provider_org	character varying		YES	
claims	49	last_test_correlation_id	character varying		YES	
claims	50	plan_product	text		YES	
claims	51	last_risk_evaluation_at	timestamp without time zone		YES	
claims	52	last_risk_factors	jsonb		YES	
claims	53	timely_filing_deadline	date		YES	
claims	54	timely_filing_days_remaining	integer		YES	
claims	55	timely_filing_status	text		YES	
claims	56	timely_filing_last_evaluated_at	timestamp without time zone		YES	
claims	57	pcp_referral_id	character varying		YES	
claims	58	pcp_referral_required	boolean		YES	
claims	59	pcp_referral_check_status	text		YES	
claims	60	rules_snapshot	jsonb		YES	
claims	61	rules_engine_version	text		YES	
claims	62	ncci_version_at_creation	text		YES	
claims	63	archived_at	timestamp without time zone		YES	
claims	64	archived_by	text		YES	
claims	65	statement_period_start	date		YES	
claims	66	statement_period_end	date		YES	
claims	67	payer_claim_number	character varying		YES	
cms_gpci	1	id	uuid		NO	gen_random_uuid()
cms_gpci	2	mac_carrier	text		NO	
cms_gpci	3	locality_code	text		NO	
cms_gpci	4	locality_name	text		NO	
cms_gpci	5	state	text		NO	
cms_gpci	6	state_fips	text		YES	
cms_gpci	7	counties	ARRAY		YES	
cms_gpci	8	work_gpci	numeric		YES	
cms_gpci	9	practice_expense_gpci	numeric		YES	
cms_gpci	10	malpractice_gpci	numeric		YES	
cms_gpci	11	effective_date	date		NO	
cms_gpci	12	termination_date	date		YES	
cms_gpci	13	pfs_year	integer		NO	
cms_gpci	14	source_url	text		YES	
cms_gpci	15	ingested_at	timestamp without time zone		YES	now()
cms_locality_county	1	id	uuid		NO	gen_random_uuid()
cms_locality_county	2	mac_carrier	text		NO	
cms_locality_county	3	locality_code	text		NO	
cms_locality_county	4	state	text		NO	
cms_locality_county	5	locality_name	text		NO	
cms_locality_county	6	counties	ARRAY		YES	
cms_locality_county	7	pfs_year	integer		NO	
cms_locality_county	8	source_url	text		YES	
cms_locality_county	9	ingested_at	timestamp without time zone		YES	now()
cms_pfs_rvu	1	id	uuid		NO	gen_random_uuid()
cms_pfs_rvu	2	hcpcs_code	text		NO	
cms_pfs_rvu	3	modifier	text		YES	
cms_pfs_rvu	4	work_rvu	numeric		YES	
cms_pfs_rvu	5	practice_expense_rvu_facility	numeric		YES	
cms_pfs_rvu	6	practice_expense_rvu_non_facility	numeric		YES	
cms_pfs_rvu	7	malpractice_rvu	numeric		YES	
cms_pfs_rvu	8	status_indicator	text		YES	
cms_pfs_rvu	9	global_period	text		YES	
cms_pfs_rvu	10	professional_component_indicator	text		YES	
cms_pfs_rvu	11	multiple_procedure_indicator	text		YES	
cms_pfs_rvu	12	bilateral_surgery_indicator	text		YES	
cms_pfs_rvu	13	assistant_surgery_indicator	text		YES	
cms_pfs_rvu	14	co_surgeon_indicator	text		YES	
cms_pfs_rvu	15	team_surgery_indicator	text		YES	
cms_pfs_rvu	16	effective_date	date		NO	
cms_pfs_rvu	17	termination_date	date		YES	
cms_pfs_rvu	18	pfs_year	integer		NO	
cms_pfs_rvu	19	conversion_factor	numeric		YES	
cms_pfs_rvu	20	source_url	text		YES	
